epoch,img_train_loss,img_valid_loss,xyza_train_loss,xyza_valid_loss
1,7.130340166,6.719393539,6.773151969,6.099854088
2,6.682826985,6.554824781,5.98740755,5.895932341
3,6.571583224,6.452878618,5.822887002,5.804696226
4,6.505047227,6.466370726,5.742522489,5.809638023
5,6.452337189,6.390506363,5.683819302,5.758776331
6,6.401858909,6.374475431,5.629872238,5.79692173
7,6.357314921,6.372260094,5.562889488,5.793293476
8,6.323049894,6.326463413,5.488281506,5.833160877
9,6.294027466,6.36067996,5.354947823,5.95725565
10,6.257204422,6.376085234,5.17039105,6.036727905
11,6.222268693,6.37965517,4.908318841,6.266780043
12,6.187124893,6.347894049,4.550433437,6.550278854
13,6.151480121,6.350984526,4.029873973,6.907884359
14,6.105854634,6.397427797,3.4669992,7.24200182
15,6.053445192,6.406241846,2.830106147,7.471206951
16,6.00416926,6.397214794,2.25625505,7.93609128
17,5.916781713,6.482180119,1.759540695,7.935736179
18,5.844684299,6.518311214,1.329669435,8.239705324
19,5.731130377,6.613005161,0.997762594,8.438050795
20,5.614684765,6.635253239,0.7484796694,8.447349596
